"","variable","year","mean","sd","lower","upper"
"1","b_t",2001,778.096606831142,451.172795583171,340.366278174012,1528.58656042174
"2","b_t",2002,838.505603514295,614.011499846372,244.461146604179,1975.55155228771
"3","b_t",2003,917.259546689799,657.138311457054,281.907266223182,2041.95317417761
"4","b_t",2004,1009.68873764232,777.626913610997,282.977533312735,2434.97966898456
"5","b_t",2005,879.716157259744,763.686068206191,194.230138410581,2224.19938451579
"6","b_t",2006,589.246594808572,492.166552538162,155.404749234815,1449.72384077179
"7","b_t",2007,574.944355744591,470.275001654234,147.288315692897,1455.96927607349
"8","b_t",2008,704.165438215799,643.614030111391,174.145557665924,1842.68397278712
"9","b_t",2009,568.607023850562,841.664678663111,91.58672716507,1526.50930564044
"10","b_t",2010,113.032530325098,94.9861495705078,28.3569063918728,278.555642858747
"11","b_t",2011,135.506898053315,112.352188798732,30.8783102979348,321.342664383999
"12","b_t",2012,256.116593596235,217.155421402766,59.3770551660776,624.511831523423
"13","b_t",2013,515.749421283989,386.00966126376,133.664796351426,1243.70416552205
"14","b_t",2014,667.673083364074,555.643457772793,196.213069753832,1551.03636512317
"15","b_t",2015,1280.03684474881,996.286610475476,433.622489896566,3081.8440963545
"16","b_t",2016,841.929789700829,715.169809505957,287.807981518333,2332.78292506108
"17","b_t",2017,507.795850276553,603.879735276077,148.077480802071,1233.02220624803
"18","b_t",2018,317.473127063286,193.017266428869,138.360439563186,629.753729219272
"19","bmsy",2001,527.180851672482,303.742632044512,238.645248725495,1016.46818842624
"20","ck",2001,0.0318981009582111,0.013629878202681,0.0132812907940125,0.0565693252653012
"21","ck",2002,0.0425308012776148,0.018173170936908,0.01770838772535,0.0754257670204015
"22","ck",2003,0.0626147907698218,0.026754946101559,0.0260706819289876,0.111043490335591
"23","ck",2004,0.0803359579688279,0.034327100658604,0.0334491768145501,0.142470893260758
"24","ck",2005,0.060251968476621,0.025745325493953,0.0250868826109126,0.106853169945569
"25","ck",2006,0.0307166898116107,0.013125067898878,0.012789391134975,0.05447416507029
"26","ck",2007,0.0354423343980123,0.01514430911409,0.014756989771125,0.0628548058503346
"27","ck",2008,0.060251968476621,0.025745325493953,0.0250868826109126,0.106853169945569
"28","ck",2009,0.060251968476621,0.025745325493953,0.0250868826109126,0.106853169945569
"29","ck",2010,0.00236282229320082,0.001009620607606,0.000983799318075002,0.00419032039002231
"30","ck",2011,0.00590705573300206,0.002524051519015,0.00245949829518751,0.0104758009750558
"31","ck",2012,0.0141769337592049,0.006057723645636,0.00590279590845001,0.0251419223401338
"32","ck",2013,0.0484378570106169,0.020697222455923,0.0201678860205376,0.0859015679954573
"33","ck",2014,0.0342609232514119,0.014639498810287,0.0142650901120875,0.0607596456553235
"34","ck",2015,0.20083989492207,0.08581775164651,0.0836229420363752,0.356177233151896
"35","ck",2016,0.2882643197705,0.123173714127932,0.12002351680515,0.511219087582722
"36","ck",2017,0.11459688122024,0.048966599468891,0.0477142669266376,0.203230538916082
"37","ck",2018,0.197295661482269,0.084303320735101,0.0821472430592627,0.349891752566863
"38","crashed",2001,0,0,0,0
"39","delta",2001,100,0,100,100
"40","dep_t",2001,0.738831863651067,0.0716364001738125,0.627827587813251,0.858035592780481
"41","dep_t",2002,0.80024313269133,0.35607195000125,0.346634395679736,1.42078912960244
"42","dep_t",2003,0.889969229012543,0.388607077529692,0.370863615287395,1.5565339198886
"43","dep_t",2004,0.960864303765442,0.422060162953869,0.399128598534843,1.72270001488773
"44","dep_t",2005,0.82529585714712,0.418046109224837,0.297604611790698,1.61367768956531
"45","dep_t",2006,0.559087917854542,0.297007294433677,0.190983505912282,1.09043381387903
"46","dep_t",2007,0.549594376847926,0.304395318979573,0.200127544294524,1.08477141268919
"47","dep_t",2008,0.662148016913601,0.389211400015299,0.223590291671885,1.43032452164178
"48","dep_t",2009,0.506203719079729,0.468179160341297,0.124788968714257,1.69489516743828
"49","dep_t",2010,0.107918566595953,0.0592249208341858,0.0380188095358632,0.217177594305061
"50","dep_t",2011,0.128925370092854,0.0700149131705252,0.0434159300386891,0.251303689033702
"51","dep_t",2012,0.245222898483976,0.134439518260708,0.0864290897547951,0.478695020560182
"52","dep_t",2013,0.500348227991386,0.254346385279898,0.18448671412105,0.953284802455798
"53","dep_t",2014,0.633464949342902,0.29824135914445,0.24796040468484,1.17401870184348
"54","dep_t",2015,1.21376760675348,0.470601035595563,0.502144713422815,1.99730862249747
"55","dep_t",2016,0.806759216061808,0.427051139313911,0.324172285476682,1.71042058744951
"56","dep_t",2017,0.46569343422806,0.303404112249105,0.200329521114025,1.00282337635246
"57","dep_t",2018,0.30055540631155,0.044084096919344,0.236156695797758,0.374877329185382
"58","growth_t",2001,0.113389350931639,0.0300167681628029,0.066567853385393,0.160237152645847
"59","growth_t",2002,0.0212030465134554,0.229108117454171,-0.361990046608578,0.179082279775066
"60","growth_t",2003,-0.0305386173242338,0.264667464818608,-0.523357844169677,0.17025193744503
"61","growth_t",2004,-0.0795008515337109,0.324473631477583,-0.742704053230548,0.166952580136975
"62","growth_t",2005,-0.0166255391889159,0.294022563476183,-0.607118212180199,0.172979944547378
"63","growth_t",2006,0.0964493192661229,0.118228704058995,-0.0609450019924665,0.180248791445271
"64","growth_t",2007,0.0932991051365663,0.144396187457418,-0.0552717246330252,0.178929344421648
"65","growth_t",2008,0.0420626846470383,0.254010121474157,-0.375923916797073,0.175348472332531
"66","growth_t",2009,0.0127070055255633,0.38738066806351,-0.700382332917699,0.174143916520531
