"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,18023.5814749886,1919.4078626319,15677.6030656385,21323.0513932296
"2","b_t",1952,18077.9268320094,1485.31554666144,15375.4902906077,20157.0437383512
"3","b_t",1953,18193.8002710375,3028.28727878148,12269.1891516409,22454.5441594583
"4","b_t",1954,16333.2850826503,2476.47368405092,12094.9144095674,20459.6923981551
"5","b_t",1955,13501.6296759974,2453.93369464117,10639.9463708521,17967.3353356082
"6","b_t",1956,9400.49798614536,1555.7799727602,7536.3959897319,12374.0904683892
"7","b_t",1957,6902.12214370331,976.06159485931,5615.19294386426,8522.63043213031
"8","b_t",1958,8317.17134576761,816.137679125018,7130.23114920422,9781.22205605562
"9","b_t",1959,8570.67079769393,779.641040582533,7331.3007181079,9884.93525875742
"10","b_t",1960,7549.85665447938,680.270168727115,6424.74799163443,8610.63899934768
"11","b_t",1961,9885.75476340403,1183.87131310187,8315.79771632162,11967.2547758465
"12","b_t",1962,16282.5566521848,2305.04269437808,12778.2968752576,20649.5216396316
"13","b_t",1963,18673.108050803,2042.52970273551,15527.5506756253,21905.4522217976
"14","b_t",1964,24999.8751264579,3535.25392670788,20258.2411973426,30725.4881209796
"15","b_t",1965,15684.0896953266,1489.00222836958,13369.8127703696,18337.5579269765
"16","b_t",1966,13451.4931183327,1211.81331098101,11753.100950274,15377.3186928762
"17","b_t",1967,12931.5496771733,1194.32059980366,11190.594158753,15000.164218572
"18","b_t",1968,10151.9623599696,577.453071933212,9218.01239988019,11048.2123595915
"19","b_t",1969,12274.3348005296,675.405174137476,11040.2724291167,13346.0826406872
"20","b_t",1970,11144.5267797753,1152.93312189291,9560.23076428741,13128.842959762
"21","b_t",1971,9171.66233743195,793.204290955279,8074.47801354097,10540.8019437867
"22","b_t",1972,7978.60793254491,646.247378369462,7010.93956023492,9004.57321938403
"23","b_t",1973,6278.85349395994,683.478686384101,5196.35911769203,7319.48921742315
"24","b_t",1974,9001.07991554177,942.062866332311,7610.97665260608,10545.1595318911
"25","b_t",1975,8231.91421182662,1175.39089437403,6405.38188529962,10387.7230601879
"26","b_t",1976,7868.70573089365,1226.71365002598,5906.98513051341,9964.62929587717
"27","b_t",1977,8222.5794125267,1246.02415423007,6415.28154195754,10356.3380010692
"28","b_t",1978,8693.33261144891,1274.34607677813,6757.74049772459,10968.2594883224
"29","b_t",1979,9676.93013847679,1367.00603819932,7746.2499916114,12064.8750619443
"30","b_t",1980,12993.0207024508,2207.76781579307,10403.6025890692,17057.006636645
"31","b_t",1981,13080.8358936595,2514.92339853787,8994.49986424461,17218.9515028978
"32","b_t",1982,10775.4475365068,1090.13775796672,9377.11972071396,12936.592822118
"33","b_t",1983,9500.65541284562,828.794113513409,8549.94054986641,11118.7276904298
"34","b_t",1984,7821.52213094048,1562.45837022894,5876.93738451755,10973.2893963923
"35","b_t",1985,6676.83360509989,991.950823847851,5529.56596858434,8385.23169855539
"36","b_t",1986,9120.95042893456,884.357397415901,8152.48780850154,10884.8220296725
"37","b_t",1987,8259.75594690515,765.175578612943,7474.24459079178,9946.4465892493
"38","b_t",1988,4420.20306669221,436.783224578064,3935.35391327216,5287.18654810744
"39","b_t",1989,4576.17121300301,459.680931041439,4133.95082174088,5532.83356428941
"40","b_t",1990,4325.39086556036,524.916024506504,3797.77635448799,5387.94315683296
"41","b_t",1991,5556.2635537383,802.735205276424,4700.06557959331,7115.58620865611
"42","b_t",1992,5275.81526123982,533.352748970621,4596.05987314762,6252.87035352057
"43","b_t",1993,5823.35366478769,752.049065886548,4565.84978244215,6835.76925693725
"44","b_t",1994,6383.85580639088,655.228410518572,5179.97694731034,7362.04890892433
"45","b_t",1995,5897.48631457184,708.98019798886,4983.28833382579,7186.71957629321
"46","b_t",1996,6509.74958442584,633.396447967847,5638.58721377922,7628.02916421923
"47","b_t",1997,8602.11134868327,1051.86342483964,7094.74738662746,10456.4820911381
"48","b_t",1998,8574.58306954505,1055.57143958357,7158.09318877041,10276.377363217
"49","b_t",1999,8429.66491380735,1579.91156946207,6196.92618933836,11882.4653301772
"50","b_t",2000,6078.89638033318,921.191897807147,4840.54501950199,7680.40704946489
"51","b_t",2001,4993.72153325162,448.365934512398,4282.19878853762,5721.37087173227
"52","b_t",2002,5351.41122043577,647.502900136617,4555.73896032741,6557.57319638421
"53","b_t",2003,3174.52990112375,533.548178057258,2573.86409091108,4140.76275066116
"54","b_t",2004,5469.68020123741,911.406166023054,4395.08708170665,7144.76615613751
"55","b_t",2005,5183.42827664513,616.671269725953,4228.68789579343,6139.77717681364
"56","b_t",2006,3703.73201579416,587.844777792675,2927.28947945147,4740.79397334445
"57","b_t",2007,3010.71652349649,294.561266065583,2543.72562356852,3603.2592890216
"58","b_t",2008,2327.76343719774,253.839580361811,2041.47463288005,2837.98033403976
"59","b_t",2009,2238.84780714347,151.27834246808,2033.70273229345,2506.16045744283
"60","b_t",2010,1612.35468660269,134.303888948814,1452.89137435072,1888.50324151371
"61","b_t",2011,1498.57137267046,157.530770303797,1298.43883141137,1750.03241201332
"62","b_t",2012,1119.38121933798,89.3435894335695,1006.38029399265,1307.02944400981
"63","b_t",2013,898.344403694921,83.1907997684566,788.297040813571,1048.24521601536
"64","b_t",2014,1007.13427971257,106.683483171535,831.65754540275,1188.65196851521
"65","b_t",2015,1649.41169986371,306.759121063549,1216.86808116907,2173.28591858565
"66","b_t",2016,3138.94638541854,485.068926902063,2398.70939004275,3918.85495619062
"67","b_t",2017,4467.26914147253,684.835461915635,3445.22744854519,5605.13714195099
"68","b_t",2018,6159.23795437453,898.064284867103,4869.26544026166,7681.57939571666
"69","bmsy",1951,10873.8963584642,679.621239616901,9991.27100464062,11960.4652249431
"70","ck",1951,0.147707707801339,0.00907677785812196,0.133774060645392,0.16013978617789
"71","ck",1952,0.133860110194964,0.00822582993392303,0.121232742459887,0.145126681223713
"72","ck",1953,0.120012512588588,0.00737488200972409,0.108691424274381,0.130113576269536
"73","ck",1954,0.120012512588588,0.00737488200972409,0.108691424274381,0.130113576269536
"74","ck",1955,0.0877014515070452,0.00538933685325991,0.0794283485082017,0.0950829980431221
"75","ck",1956,0.0969331832446289,0.00595663546939254,0.0877892272985387,0.10509173467924
"76","ck",1957,0.0369269269503348,0.00226919446453049,0.0334435151613481,0.0400349465444725
"77","ck",1958,0.0600062562942941,0.00368744100486205,0.0543457121371906,0.0650567881347678
"78","ck",1959,0.0692379880318778,0.00425473962099467,0.0627065909275276,0.0750655247708859
"79","ck",1960,0.0507745245567104,0.00312014238872942,0.0459848333468536,0.0550480514986497
"80","ck",1961,0.0646221221630859,0.00397109031292836,0.0585261515323591,0.0700611564528268
"81","ck",1962,0.101549049113421,0.00624028477745885,0.0919696666937072,0.110096102997299
"82","ck",1963,0.138475976063756,0.00850947924198934,0.125413181855055,0.150131049541772
"83","ck",1964,0.189250500620466,0.0116296216307188,0.171398015201909,0.205179101040421
"84","ck",1965,0.147707707801339,0.00907677785812196,0.133774060645392,0.16013978617789
"85","ck",1966,0.106164914982213,0.00652393408552516,0.0961501060888757,0.115100471315358
"86","ck",1967,0.0969331832446289,0.00595663546939254,0.0877892272985387,0.10509173467924
"87","ck",1968,0.0784697197694615,0.00482203823712729,0.0710674697178647,0.085074261407004
"88","ck",1969,0.0646221221630859,0.00397109031292836,0.0585261515323591,0.0700611564528268
"89","ck",1970,0.0898247498066895,0.00551981553497042,0.0813513506299792,0.0973850074694293
"90","ck",1971,0.0841472347880755,0.00517092688604885,0.0762094101739219,0.0912296344382167
"91","ck",1972,0.0618526026418108,0.00380090072808857,0.056017887895258,0.0670585354619914
"92","ck",1973,0.042465965992885,0.00260957363421006,0.0384600424355503,0.0460401885261434
"93","ck",1974,0.0460663413705427,0.00283082009450179,0.0417207851637817,0.0499435958142294
"94","ck",1975,0.0519746496825963,0.00319389120882666,0.0470717475895974,0.056349187261345
"95","ck",1976,0.0730229980442871,0.00448733205360904,0.0661345512315658,0.0791691067916943
"96","ck",1977,0.0575136887251465,0.00353427037850624,0.0520882748637996,0.0623544292430159
"97","ck",1978,0.0613910160549316,0.00377253579728194,0.0555998439557412,0.0665580986301855
"98","ck",1979,0.0933789665256592,0.00573822550218148,0.0845702889642589,0.101238371074335
"99","ck",1980,0.122366604181672,0.00751954315683791,0.110823448365917,0.132665804111746
"100","ck",1981,0.110226876946749,0.00677354547662351,0.099828892756624,0.11950431543525
"101","ck",1982,0.116550613186994,0.00716214502867436,0.105556094728005,0.126360300030991
"102","ck",1983,0.117658420995504,0.00723022086261027,0.106559400182845,0.127561348427325
"103","ck",1984,0.0918557307889579,0.00564462123051959,0.0831907439638533,0.0995869295293753
"104","ck",1985,0.102564539604555,0.00630268762523344,0.0928893633606443,0.111197064027272
"105","ck",1986,0.120289464540716,0.00739190096820807,0.108942250638091,0.130413838368619
"106","ck",1987,0.147892342436091,0.00908812383044461,0.133941278221199,0.160339960910612
"107","ck",1988,0.0601447322703578,0.00369595048410404,0.0544711253190457,0.0652069191843096
"108","ck",1989,0.0843780280815151,0.00518510935145217,0.0764184321436804,0.0914798528541196
"109","ck",1990,0.0640682182588309,0.0039370523959604,0.0580244988049389,0.0694606322546598
"110","ck",1991,0.0857166291834647,0.0052673676507914,0.0776307595682792,0.0929311196663568
