"","variable","year","mean","sd","lower","upper"
"1","b_t",1958,15620.1608448049,535.460223076727,14811.3916046267,16464.576334498
"2","b_t",1959,21031.6447234884,1309.7821947058,18985.8542641971,23136.1127171706
"3","b_t",1960,8995.43151595666,292.024858774811,8491.91309544717,9422.0427718932
"4","b_t",1961,8093.77539969472,350.161488588678,7556.35023091684,8626.47211662272
"5","b_t",1962,13033.6319592275,1383.50794693028,10902.9557340902,15578.5575884605
"6","b_t",1963,11563.5583508827,813.224378510172,10626.5779805648,13450.5065618344
"7","b_t",1964,21198.1968859798,1754.34299017191,18647.605212843,23870.7261138771
"8","b_t",1965,16327.9796991348,589.569648800062,15411.1470108614,17452.1816254361
"9","b_t",1966,15624.1297354517,434.823212164555,15005.9440922668,16314.4267231646
"10","b_t",1967,10547.9822367996,652.899573060187,9610.44050157122,11583.1539092534
"11","b_t",1968,12226.4497330205,1079.51426969408,10768.9416921678,13831.7376488833
"12","b_t",1969,18843.3688977445,1516.77792548417,16527.9378748861,21230.7939966341
"13","b_t",1970,15544.5812958281,1346.76536420415,13520.0989348627,17539.6423026531
"14","b_t",1971,19556.0040071279,1844.3609862259,16946.6047890952,22359.835379448
"15","b_t",1972,20963.9966238571,1650.91404041929,18415.8597779751,23223.2846937813
"16","b_t",1973,29614.3367082141,2664.19515085269,26002.8962290319,35120.684375499
"17","b_t",1974,8961.0538792846,457.967433718756,8165.89121682288,9652.03388608833
"18","b_t",1975,9017.32001756971,572.022567919569,8144.75663858908,9899.98435620899
"19","b_t",1976,7902.15656254078,471.261564119232,7231.01262331358,8738.5514616058
"20","b_t",1977,13958.0425259399,1347.04412899697,12364.5199929799,16725.5033890276
"21","b_t",1978,10436.4119933112,598.871368541826,9508.50026952184,11566.8194818429
"22","b_t",1979,19466.7972722844,1121.43316006669,17550.1393846029,21054.6899185061
"23","b_t",1980,16940.3552791826,1222.52044358076,14993.9256138093,18799.9652503207
"24","b_t",1981,19262.3397119823,784.455718735622,18041.2438005925,20416.7483928243
"25","b_t",1982,16353.481746494,461.134175746617,15607.4497933383,17094.4431073249
"26","b_t",1983,13947.0331314832,306.019238222435,13458.5359850632,14476.2325260366
"27","b_t",1984,6968.3581941877,224.415767727552,6640.25962626866,7338.74682745856
"28","b_t",1985,3242.43532092724,309.279208269371,2876.62239006154,3693.10085665448
"29","b_t",1986,2882.92542126597,260.209746611017,2514.27828093852,3235.53123038733
"30","b_t",1987,3148.63513702738,177.422988057966,2897.16353136846,3426.83432332193
"31","b_t",1988,3632.26406640534,276.369055064805,3271.30945134135,4068.17515133537
"32","b_t",1989,4523.5009669017,427.782356859171,4017.25997159283,5299.26289876049
"33","b_t",1990,4958.88301052607,307.500166081696,4564.38782999255,5529.39262429466
"34","b_t",1991,4218.50049154862,357.100661805024,3779.8120677769,4828.70883347987
"35","b_t",1992,4293.34837312614,351.501505658571,3865.21863589057,4845.05315762947
"36","b_t",1993,4202.80775953825,274.654951239834,3846.71863529008,4685.96645760698
"37","b_t",1994,6502.8520923792,383.498826911928,5913.20080059073,7062.72028753897
"38","b_t",1995,7533.21944126254,402.345813433071,6993.21911387537,8255.87140294575
"39","b_t",1996,4850.57317082707,233.607273807375,4496.66648655751,5269.08693553405
"40","b_t",1997,5253.84635748085,267.690830437516,4876.49378123617,5690.32353831918
"41","b_t",1998,5256.16238715209,154.509628628972,5052.89153632418,5492.71695418289
"42","b_t",1999,4831.67388017211,202.394923108078,4520.13173120928,5206.10300974431
"43","b_t",2000,7095.3741797544,319.070669692498,6526.0483016827,7579.72354419299
"44","b_t",2001,4914.39946138664,253.64069808971,4506.38923427979,5353.95503909688
"45","b_t",2002,3401.01559522197,251.621762209375,3023.83355133862,3807.28008693482
"46","b_t",2003,2481.56200825666,119.121691791756,2301.6277477066,2682.28584461078
"47","b_t",2004,2151.11008036959,106.485846724082,1992.98090675152,2339.77020568621
"48","b_t",2005,2400.84647055276,172.16177156799,2153.04745203615,2669.29526804276
"49","b_t",2006,2856.66887401545,197.712301449397,2607.12649447804,3215.31050553146
