"","variable","year","mean","sd","lower","upper"
"1","b_t",1968,7158.94686559883,1411.44708723731,5509.7262574368,9729.30035542629
"2","b_t",1969,7106.4442506301,1787.15817604271,4915.37164029613,10362.7890333073
"3","b_t",1970,8657.16095329575,2194.58218976817,5849.32643772952,12642.6690829835
"4","b_t",1971,9396.81409123065,2279.25423243552,6067.01791054216,13387.6895661923
"5","b_t",1972,8615.48763851863,2284.08404016002,5839.67847197484,12994.5386851951
"6","b_t",1973,8511.80054601288,2134.20051689342,5957.16635787467,12524.079941939
"7","b_t",1974,8785.05419220123,2540.76789065615,5753.51229011425,13278.2736116183
"8","b_t",1975,8340.99365177397,2205.55769312873,5627.60132635486,12283.7773855349
"9","b_t",1976,9017.96491765867,2006.55738429529,6494.78061057898,12549.2938070769
"10","b_t",1977,10569.3849937059,2715.27773448537,7235.70844195053,15547.9372436064
"11","b_t",1978,9405.98150597667,2565.62223871319,6045.48337370917,13610.9102176021
"12","b_t",1979,8707.14333372693,2562.81559768431,5732.25198328816,13219.5111679605
"13","b_t",1980,7544.68000018546,2100.40219946203,5122.64391508414,11314.5292512716
"14","b_t",1981,6710.00051456467,1645.54651550968,4640.37476354418,9570.6042644611
"15","b_t",1982,7043.32021403363,1878.25948730529,4731.26184461882,10217.8955277298
"16","b_t",1983,7421.83862880687,1991.85841099622,4898.04817917045,11002.5062903051
"17","b_t",1984,6768.93379551014,1716.54894287107,4622.89916867465,9736.67654537005
"18","b_t",1985,6549.06769772989,1529.46248779349,4596.85334262988,9137.60524786808
"19","b_t",1986,7127.40555055493,1774.82292444294,4797.13367993612,10300.9458790587
"20","b_t",1987,6993.67072756297,1725.25280314302,4697.30387456568,9955.13047892037
"21","b_t",1988,6437.60283006313,1594.47792375062,4454.53208697699,9313.23031765755
"22","b_t",1989,5463.7215323035,1424.36476584071,3719.60550386948,8027.76568049678
"23","b_t",1990,5064.45538269769,1267.37608906333,3368.51227042841,7052.74829921081
"24","b_t",1991,4480.43268555148,998.733465032617,3232.15227182731,6366.90275445903
"25","b_t",1992,5453.88859773211,1278.47104417694,3781.67820249752,7654.09527089212
"26","b_t",1993,4795.72812294722,1194.30074843996,3303.0654521859,6774.32392997471
"27","b_t",1994,5103.34219761892,1325.25057049518,3513.95331650322,7385.40338719355
"28","b_t",1995,5484.61321654494,1488.77384660855,3770.91563477742,8152.69425050155
"29","b_t",1996,3971.79565948293,1001.34191049672,2820.8606980418,5713.81185900423
"30","b_t",1997,3202.90068196475,798.093495613968,2202.67244824382,4624.38769971815
"31","b_t",1998,2210.40678130628,601.645953707215,1580.86469631656,3299.2698884012
"32","b_t",1999,2058.52118270241,489.906509929201,1470.59497917165,2913.43277798101
"33","b_t",2000,2402.71925343457,563.26812750186,1683.76059167198,3366.07617408604
"34","b_t",2001,2218.32339934221,603.169206095901,1522.43374911363,3118.28551823739
"35","b_t",2002,2072.79440244742,498.030658716553,1486.94460044204,2931.40582657547
"36","b_t",2003,2201.7214456722,549.185913516706,1546.43879469848,3221.02978139965
"37","b_t",2004,2171.65304579803,565.970145277261,1517.94602776666,3097.32869080817
"38","b_t",2005,2144.37706576303,509.799373569026,1476.87028657102,2980.15732429834
"39","b_t",2006,2726.3736239567,607.376123822294,1889.83887366197,3799.91133978727
"40","b_t",2007,3126.48064409636,813.726295121279,2268.24157606669,4495.53790020059
"41","b_t",2008,2829.04271625065,598.740519385622,2069.28864041923,3906.34321081231
"42","b_t",2009,2621.28110355411,623.15895110309,1876.06473502131,3623.91938985295
"43","b_t",2010,2457.89669999423,540.982407751738,1746.84369230474,3396.13273959424
"44","b_t",2011,2135.66009265422,519.422160450751,1500.47950130697,3038.91661487963
"45","b_t",2012,1987.03981603997,478.00164460565,1389.74484082224,2797.23624493258
"46","b_t",2013,1892.24443238202,445.383298396824,1346.18713261722,2705.25887292228
"47","b_t",2014,1268.61317095879,296.073930368579,914.258378387509,1775.12712184387
"48","b_t",2015,515.650489728236,168.165186117681,336.888055396838,778.330800498246
"49","b_t",2016,897.058269717268,314.088294131487,521.147416743013,1475.60810253345
"50","b_t",2017,1602.58599890844,498.436830112441,967.583657854637,2502.77961256221
"51","b_t",2018,2828.51831962164,651.681563789561,1987.14722663152,3909.07987909158
"52","bmsy",1968,5148.91345707461,913.693000492659,4026.15420929985,6585.41553693286
"53","ck",1968,0.0897189257382854,0.0137258552728848,0.0683328177986909,0.111769191372301
"54","ck",1969,0.0797501562118093,0.0122007602425643,0.0607402824877253,0.0993503923309342
"55","ck",1970,0.113145534125504,0.017309828594138,0.0861752757794602,0.140953369119513
"56","ck",1971,0.136970893293782,0.0209548057166041,0.104321435172668,0.170634298828379
"57","ck",1972,0.103376139989558,0.0158152354644239,0.0787345911747139,0.128782946058973
"58","ck",1973,0.0795507808212797,0.0121702583419578,0.0605884317815059,0.0991020163501069
"59","ck",1974,0.110354278658091,0.0168828019856483,0.0840493658923898,0.13747610538793
"60","ck",1975,0.100883947607939,0.0154339617068438,0.0768364573469724,0.125678246298632
"61","ck",1976,0.137569019465371,0.0210463114184233,0.104776987291326,0.171379426770862
"62","ck",1977,0.163487820234209,0.0250115584972567,0.124517579099837,0.203668304278415
"63","ck",1978,0.141157776494902,0.0215953456293387,0.107510300003274,0.175850194425754
"64","ck",1979,0.132684322397398,0.0202990148535663,0.101056644988953,0.165294215240592
"65","ck",1980,0.115039600335535,0.0175995966498989,0.0876178574885437,0.143312940937373
"66","ck",1981,0.0935070581583464,0.0143053913844066,0.0712179812168579,0.11648833500802
"67","ck",1982,0.120921174356156,0.0184994027177881,0.0920974533220134,0.150640032371779
"68","ck",1983,0.160297813985737,0.0245235280875542,0.122087967800328,0.199694288585178
"69","ck",1984,0.139762148761196,0.0213818323250939,0.106447345059738,0.174111562559962
"70","ck",1985,0.130391505406308,0.0199482429965926,0.0993103618674308,0.162437891461077
"71","ck",1986,0.171064085074331,0.0261706307203003,0.130287905936171,0.213106591549854
"72","ck",1987,0.182528170029778,0.0279244900051689,0.139019321543781,0.227388210447426
"73","ck",1988,0.198179138186346,0.0303188892027722,0.150939601981997,0.246885724942372
"74","ck",1989,0.148036227468171,0.0226476612002599,0.11274914936784,0.184419165764297
"75","ck",1990,0.138366521027489,0.021168319020849,0.105384390116203,0.172372930694171
"76","ck",1991,0.105469581590118,0.0161355054207912,0.0803290235900166,0.13139089385766
"77","ck",1992,0.176048469837569,0.0269331782354606,0.134084173591654,0.219315991070537
"78","ck",1993,0.128397751501013,0.0196432239905285,0.0977918548052377,0.159954131652804
"79","ck",1994,0.120921174356156,0.0184994027177881,0.0920974533220134,0.150640032371779
"80","ck",1995,0.191699437994137,0.0293275774330638,0.14600445402987,0.238813505565483
"81","ck",1996,0.137269956379577,0.0210005585675137,0.104549211231997,0.171006862799621
"82","ck",1997,0.0960989382352302,0.0147019160922899,0.0731920403977089,0.119717222758776
"83","ck",1998,0.0526351030997941,0.00805250176009241,0.0400885864418987,0.0655712589384166
"84","ck",1999,0.047650718336556,0.00728995424493214,0.0362923187864158,0.0593618594177332
"85","ck",2000,0.0640991880552417,0.00980636104496102,0.0488200020495092,0.0798528778359884
"86","ck",2001,0.0620057464546817,0.00948609108859371,0.0472255696342064,0.0772449300373013
"87","ck",2002,0.0480494691176151,0.00735095804614496,0.0365960201988545,0.0598586113793879
"88","ck",2003,0.0608094941115046,0.00930307968495524,0.0463144653968905,0.0757546741523373
"89","ck",2004,0.0559247970435312,0.00855578312009818,0.0425941230945173,0.0696694626220676
"90","ck",2005,0.0443610243928189,0.00678667288492637,0.0337867821337972,0.0552636557340822
"91","ck",2006,0.0746660837533064,0.0114229617771008,0.0568680894791328,0.0930168048198372
"92","ck",2007,0.117531792717154,0.0179808704074791,0.0895159913162851,0.146417640697714
"93","ck",2008,0.0913139288625216,0.0139698704777361,0.0695476234484454,0.11375619921892
"94","ck",2009,0.0791520300402207,0.012109254540745,0.0602847303690673,0.0986052643884522
"95","ck",2010,0.0845351655845178,0.0129328058571181,0.0643846994369888,0.10531141587079
"96","ck",2011,0.0683857589516264,0.0104621519079988,0.0520847922332244,0.0851929614237761
"97","ck",2012,0.0599123048541217,0.0091658211322264,0.0456311372189036,0.0746369822386143
"98","ck",2013,0.075662960705954,0.0115754712801328,0.0576273430102293,0.0942586847239738
"99","ck",2014,0.0750648345343655,0.0114839655783136,0.0571717908915714,0.0935135567814918
"100","ck",2015,0.00608094941115046,0.000930307968495524,0.00463144653968905,0.00757546741523373
"101","ck",2016,0.00418688320111999,0.000640539912734623,0.00318886483060558,0.00521589559737405
"102","ck",2017,0.0012959400384419,0.000198262353941669,0.000987029590425535,0.00161444387537768
"103","ck",2018,0.00638001249694474,0.00097606081940514,0.00485922259901802,0.00794803138647474
"104","crashed",1968,0,0,0,0
"105","delta",1968,100,0,100,100
"106","dep_t",1968,0.69539886910016,0.0600088036796609,0.604959577783881,0.796569487175247
"107","dep_t",1969,0.69231575094534,0.134126539023165,0.509252917111755,0.919852911786156
"108","dep_t",1970,0.844804027473861,0.178075852945501,0.619629060791187,1.17677416077505
"109","dep_t",1971,0.918579808978408,0.194601366553111,0.641642331650265,1.26406457692955
"110","dep_t",1972,0.840752024719546,0.188373071883796,0.588630591491013,1.17658915835157
"111","dep_t",1973,0.833014603750888,0.18016695976189,0.584258414418145,1.12881059442348
"112","dep_t",1974,0.852260011173412,0.180823669399196,0.595171181910167,1.17399657159358
"113","dep_t",1975,0.812311206643149,0.168580955653596,0.570539913744833,1.11530375176277
"114","dep_t",1976,0.881384216718674,0.155241206253455,0.663196978100633,1.14938368174446
"115","dep_t",1977,1.03065966826916,0.210913368383949,0.73732628311448,1.39196778070829
"116","dep_t",1978,0.914029923387229,0.188079555882179,0.635538440854907,1.21764718723886
"117","dep_t",1979,0.84758892468841,0.194632620302295,0.599093305589487,1.16338747159371
"118","dep_t",1980,0.733768175941523,0.156685003025973,0.525758286497532,0.988818462321556
"119","dep_t",1981,0.654834177640709,0.131882233633014,0.478580688438107,0.90191015947299
"120","dep_t",1982,0.684949633982138,0.135843245847683,0.483288735942049,0.907900644870719
"121","dep_t",1983,0.724830544317653,0.166007578977585,0.482302964392738,1.00693153472027
"122","dep_t",1984,0.659448061254757,0.125961151739034,0.467311927873076,0.876987991178984
"123","dep_t",1985,0.641507061360246,0.1283125095449,0.449496523045528,0.88075622993185
"124","dep_t",1986,0.696296936036155,0.147481323717898,0.495927754658672,0.963734132139337
"125","dep_t",1987,0.683593848584226,0.140942084810745,0.481763727886052,0.926185223443623
"126","dep_t",1988,0.632132635162122,0.141620775406893,0.442686350166759,0.875817806837998
"127","dep_t",1989,0.533869047290996,0.112968485005561,0.355370650475618,0.722761326804943
"128","dep_t",1990,0.494288548634369,0.0986211656193897,0.345990128271731,0.660186441158122
"129","dep_t",1991,0.439135636843806,0.0844830563384007,0.319619435312308,0.584810351753321
"130","dep_t",1992,0.534346729389542,0.106605951569659,0.375846056959722,0.715233105581314
"131","dep_t",1993,0.470060855160961,0.103514203489006,0.317230675143939,0.643295113744896
"132","dep_t",1994,0.498529147459817,0.107521902911011,0.354255433385816,0.690439387257515
"133","dep_t",1995,0.535984978168679,0.124854794002284,0.369444261438629,0.745645159886616
"134","dep_t",1996,0.387550334977849,0.0752355818613227,0.286254746416217,0.52463128083948
"135","dep_t",1997,0.313609669561329,0.0687202316857552,0.223999074723325,0.429160813020137
"136","dep_t",1998,0.215216288603671,0.0427450797900622,0.157774069164443,0.289832362397069
"137","dep_t",1999,0.201199240605524,0.0391721743640169,0.147721489844881,0.264417073004815
"138","dep_t",2000,0.235845029552127,0.05011868897976,0.164714697389568,0.324850253884739
"139","dep_t",2001,0.21627825438044,0.0448604655184956,0.153216189345414,0.29008875208488
"140","dep_t",2002,0.202940898522419,0.041188597709747,0.147060677576088,0.279057826663255
"141","dep_t",2003,0.214954965322341,0.0430109534928632,0.153673668144183,0.289870787164175
"142","dep_t",2004,0.211856862316414,0.0429671838001116,0.152758339906022,0.284831509170406
"143","dep_t",2005,0.21059460479035,0.0446305839429706,0.14310190212341,0.282425361416214
"144","dep_t",2006,0.267124577370276,0.0509979659593576,0.18902533335831,0.352780427106336
"145","dep_t",2007,0.305325514094439,0.0616308057016584,0.21902601762165,0.422909840417232
"146","dep_t",2008,0.277846772002518,0.0531298185903275,0.204889788680963,0.368399337627182
"147","dep_t",2009,0.256647933831419,0.0509612962101167,0.184334583043385,0.345924326306654
"148","dep_t",2010,0.24131021947981,0.0481146368961611,0.171496646197071,0.325683836586023
"149","dep_t",2011,0.209383103712096,0.044898499774947,0.148897736592867,0.287402342926434
"150","dep_t",2012,0.19479926271401,0.0413003472162576,0.136368431375194,0.263220759327017
"151","dep_t",2013,0.185553417560149,0.0391109970367961,0.133581887960322,0.257782494477146
"152","dep_t",2014,0.124369969252924,0.0249827838214175,0.0883167035393104,0.166911223740992
"153","dep_t",2015,0.0498509571329181,0.0110514147088146,0.0345291917637404,0.0688626882244057
"154","dep_t",2016,0.0872479875338782,0.0268863441377718,0.0546880892020531,0.134577282481658
"155","dep_t",2017,0.155597887260238,0.0393898211926144,0.101216271477842,0.223443645165607
"156","dep_t",2018,0.274665140472043,0.0396253243062777,0.216068626137217,0.341253705055228
"157","growth_t",1968,0.110525437403949,0.0191805212435887,0.0823654291866504,0.142830681655127
"158","growth_t",1969,0.103931920051445,0.04091389711653,0.0353855923400481,0.15092262865758
"159","growth_t",1970,0.0530396390605399,0.08348865366022,-0.112021923043762,0.134742620227512
"160","growth_t",1971,0.0210716119579611,0.0994779628626907,-0.171814591861015,0.128895105783632
"161","growth_t",1972,0.0542818503675271,0.0896730164731758,-0.0995627615520066,0.131619311673493
"162","growth_t",1973,0.0570092448677798,0.0857004404135031,-0.0753343567683018,0.136625749256891
"163","growth_t",1974,0.0509123217206354,0.0817242956844611,-0.108888991104599,0.136130359367406
"164","growth_t",1975,0.0669988392089383,0.068017137418109,-0.0646174604480361,0.135906507672473
"165","growth_t",1976,0.0433489237376912,0.0707403939626626,-0.0871394646290376,0.120983268588751
"166","growth_t",1977,-0.0384855416974585,0.135362825944425,-0.279217382000358,0.105429474775433
"167","growth_t",1978,0.0241298997374385,0.100857903519994,-0.135643320374756,0.122471317886316
"168","growth_t",1979,0.0500701799526902,0.103886697849958,-0.100247079758895,0.136371093525203
"169","growth_t",1980,0.0909438504075348,0.0625308055860346,0.00539196150501229,0.144770403520913
"170","growth_t",1981,0.110415365536481,0.0368644353494379,0.0443878347642127,0.150476968824232
"171","growth_t",1982,0.105460899481943,0.0356535505730174,0.0426016354499325,0.149520932047242
"172","growth_t",1983,0.0915851611213117,0.0595668951108434,-0.00385761431135662,0.148110135323494
"173","growth_t",1984,0.110749545235601,0.0320398503224181,0.0525760881933893,0.149746656727983
"174","growth_t",1985,0.113525837238208,0.0303976219071216,0.052428768633894,0.150030051517976
"175","growth_t",1986,0.101400378498965,0.0449761403299633,0.0194796862611469,0.15360161833777
"176","growth_t",1987,0.104578854334259,0.0393320819054771,0.036985312321453,0.151858825536852
"177","growth_t",1988,0.112864966718604,0.0356283975768364,0.0560668671854476,0.154118826966098
"178","growth_t",1989,0.12515343139123,0.0197307097666871,0.097954215465704,0.154614428020865
