"","variable","year","mean","sd","lower","upper"
"1","b_t",1997,353.861293089969,147.933911956816,205.380615995664,612.906268767257
"2","b_t",1998,303.01455271647,147.630516841626,153.242866948299,558.317611729131
"3","b_t",1999,314.992754396746,158.436939451681,156.59850719224,586.359700065006
"4","b_t",2000,347.812970929217,179.859775816768,167.998264964531,649.826249634276
"5","b_t",2001,344.849332157517,177.321505149492,169.133929572283,638.052906687807
"6","b_t",2002,384.11284274956,185.666266050714,186.886243989219,720.294975426731
"7","b_t",2003,386.108640446096,189.286334455704,201.545985679996,709.212311094744
"8","b_t",2004,550.741575178814,258.926510550505,285.686324902408,1010.81676644474
"9","b_t",2005,538.023372494198,276.413294255855,265.702475756561,1023.07428779733
"10","b_t",2006,515.875847401884,255.659295331912,247.458439364221,988.356142074599
"11","b_t",2007,370.59176048632,183.540632315048,185.494744228616,678.942904644617
"12","b_t",2008,377.515464867511,191.777248947588,188.430716588437,735.367918508687
"13","b_t",2009,411.518992771081,222.214697063836,194.591453139959,819.965586068614
"14","b_t",2010,400.759320612619,197.590674205618,197.000970841088,750.159609909087
"15","b_t",2011,443.234916225092,213.041049027227,219.662568108845,847.157761516803
"16","b_t",2012,417.122877215453,213.037283996101,204.012883282668,801.955001342171
"17","b_t",2013,455.317828779548,226.8168884068,221.296977264039,865.358725337197
"18","b_t",2014,482.812605835711,235.114686434328,244.057924868792,868.802324658278
"19","b_t",2015,762.470864964974,426.198234282626,355.50880612602,1496.20497771778
"20","b_t",2016,258.589049250102,135.545048586505,138.00045392026,470.993354596715
"21","b_t",2017,199.961266736886,106.527044241319,106.046518690457,369.42375932905
"22","b_t",2018,160.442098956121,69.5873402694515,87.6053629100572,286.833820341472
"23","bmsy",1997,255.689430781638,100.688976514154,156.497812339118,432.516788409736
"24","ck",1997,0.0436145797636523,0.012862512520964,0.0231204898125054,0.0638986875356329
"25","ck",1998,0.0479760377400175,0.0141487637730604,0.025432538793756,0.0702885562891962
"26","ck",1999,0.0523374957163828,0.0154350150251568,0.0277445877750065,0.0766784250427595
"27","ck",2000,0.056698953692748,0.0167212662772533,0.0300566367562571,0.0830682937963228
"28","ck",2001,0.056698953692748,0.0167212662772533,0.0300566367562571,0.0830682937963228
"29","ck",2002,0.0654218696454785,0.0192937687814461,0.0346807347187582,0.0958480313034494
"30","ck",2003,0.0588796826809306,0.0173643919033015,0.0312126612468824,0.0862632281731045
"31","ck",2004,0.128663010302774,0.0379444119368439,0.0682054449468911,0.188501128230117
"32","ck",2005,0.119940094350044,0.0353719094326511,0.06358134698439,0.175721390722991
"33","ck",2006,0.115578636373679,0.0340856581805547,0.0612692980031394,0.169331521969427
"34","ck",2007,0.0785062435745742,0.0231525225377353,0.0416168816625098,0.115017637564139
"35","ck",2008,0.0719640566100263,0.0212231456595907,0.038148808190634,0.105432834433794
"36","ck",2009,0.0806869725627568,0.0237956481637835,0.0427729061531351,0.118212571940921
"37","ck",2010,0.0872291595273046,0.0257250250419281,0.0462409796250109,0.127797375071266
"38","ck",2011,0.104674991432766,0.0308700300503137,0.0554891755500131,0.153356850085519
"39","ck",2012,0.0806869725627568,0.0237956481637835,0.0427729061531351,0.118212571940921
"40","ck",2013,0.0981328044682177,0.0289406531721691,0.0520211020781373,0.143772046955174
"41","ck",2014,0.1003135334564,0.0295837787982173,0.0531771265687625,0.146966981331956
"42","ck",2015,0.294398413404653,0.0868219595165072,0.156063306234412,0.431316140865522
"43","ck",2016,0.252964562629183,0.0746025726215914,0.134098840912532,0.370612387706671
"44","ck",2017,0.204988524889166,0.060453808848531,0.108666302118776,0.300323831417475
"45","ck",2018,0.159193216137331,0.0469481707015187,0.0843897878156449,0.23323020950506
"46","crashed",1997,0,0,0,0
"47","delta",1997,100,0,100,100
"48","dep_t",1997,0.690543285512632,0.0702297761643236,0.5850324857441,0.801060158861593
"49","dep_t",1998,0.586625388362322,0.120964266488463,0.41863428524397,0.789903230835806
"50","dep_t",1999,0.607429005741002,0.133432665375104,0.419763621070447,0.843814665169549
"51","dep_t",2000,0.670254937726217,0.157428513572627,0.457256893144628,0.936575791669194
"52","dep_t",2001,0.664102237201117,0.144107965139177,0.463043997076727,0.909617086637122
"53","dep_t",2002,0.743288399798114,0.15862974742464,0.508945497475336,1.01714634966158
"54","dep_t",2003,0.745650001819237,0.141771178231282,0.5332070116882,0.981995904577825
"55","dep_t",2004,1.0655877848766,0.189458365850084,0.771044864751931,1.37144731748064
"56","dep_t",2005,1.03123232819676,0.197802046345783,0.73295195549926,1.36014816678378
"57","dep_t",2006,0.993060488926817,0.218683939323455,0.677997946607424,1.36595752016784
"58","dep_t",2007,0.715231429871984,0.143371963020603,0.506097790510748,0.968715556187185
"59","dep_t",2008,0.726796093628584,0.15602680291781,0.502636278469204,0.981189901424515
"60","dep_t",2009,0.7887548609585,0.184351941553477,0.531975929359882,1.08574621824098
"61","dep_t",2010,0.7726945748027,0.163341892428945,0.539398277564351,1.05145971616348
"62","dep_t",2011,0.857261353799064,0.182828819853068,0.590465201027009,1.1695660815549
"63","dep_t",2012,0.801178216626176,0.168244130051195,0.556564657145121,1.07944001669931
"64","dep_t",2013,0.876058092341284,0.179701685876722,0.604188480201209,1.17272033684295
"65","dep_t",2014,0.930219250770426,0.163063528900458,0.691774389671835,1.19120930136005
"66","dep_t",2015,1.43871371273875,0.275925236558982,1.00005180135166,1.86672870442864
"67","dep_t",2016,0.520682459865585,0.18318976419516,0.273957232955037,0.823458776290869
"68","dep_t",2017,0.394032368476449,0.124863651831381,0.250134049553201,0.571493391485668
"69","dep_t",2018,0.312028240472567,0.0461856824542015,0.242518572803612,0.388212940970232
"70","growth_t",1997,0.178017329592982,0.0390451761360601,0.121241916985914,0.241544372225758
"71","growth_t",1998,0.194238474831754,0.0484542131465621,0.130504033461779,0.262322675105317
"72","growth_t",1999,0.188094809006799,0.0536654732908389,0.110354145857563,0.259925821725839
"73","growth_t",2000,0.166538502206531,0.0815953716610396,0.0502306672793001,0.248293684097245
"74","growth_t",2001,0.172566483616398,0.065644937394702,0.0668049320326945,0.248210450199802
"75","growth_t",2002,0.139937799934411,0.0877131641184805,-0.0159615612664094,0.236528270646241
"76","growth_t",2003,0.14532341941923,0.0758447693872728,0.0144917442046554,0.238610217902049
"77","growth_t",2004,-0.0892267153344541,0.189340572391815,-0.433558011765421,0.154255635601087
"78","growth_t",2005,-0.0561921179583958,0.189719048262243,-0.415931545044627,0.172388620119256
"79","growth_t",2006,-0.0357820628680159,0.213294578756155,-0.448600507206349,0.189062906611412
"80","growth_t",2007,0.156505419114968,0.0755377634213679,0.0263101919766695,0.248305240985269
"81","growth_t",2008,0.147981527297014,0.0868039294424346,0.0151372665287862,0.240342438043969
"82","growth_t",2009,0.112555349070665,0.129962891551506,-0.0824794939796464,0.232313535741677
"83","growth_t",2010,0.12726240168685,0.0962709814014305,-0.0455957141144026,0.228959572524352
"84","growth_t",2011,0.07546590278267,0.136239096507742,-0.172937183739218,0.215807419227875
