"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,363967.279810673,348939.367885119,93607.5620800978,930512.063639212
"2","b_t",1952,288573.703388903,301574.59967773,69480.1955841364,769280.927863338
"3","b_t",1953,179297.808360918,179933.975632001,42661.4189142306,466944.61523431
"4","b_t",1954,178203.365882171,177800.595978575,43060.4317849533,476155.889089082
"5","b_t",1955,163328.575624779,164980.615247259,38937.9143225176,446444.256059604
"6","b_t",1956,198489.902659357,207917.95087544,47962.9923763087,518740.63450275
"7","b_t",1957,247699.035704594,265971.932448946,59185.6104585945,628704.021425942
"8","b_t",1958,459411.37933831,450682.381363781,113721.671164861,1216089.03071123
"9","b_t",1959,577852.715177247,589434.908483971,138881.624079713,1554534.98748346
"10","b_t",1960,658703.217131925,689332.005445245,154851.356444319,1776281.46386889
"11","b_t",1961,659494.863321263,671701.103386585,156899.978271148,1700803.69998791
"12","b_t",1962,927871.039194737,934027.889113296,213336.065209809,2489836.40926694
"13","b_t",1963,1062170.52706164,1063029.93238772,252503.93216522,2807178.36499527
"14","b_t",1964,1080912.68298389,1056248.58317994,260496.360219157,2811442.13436228
"15","b_t",1965,1154481.54402209,1173512.96949765,278387.266914342,2987142.96638649
"16","b_t",1966,952107.919542204,1044384.9923015,225135.561240816,2489996.00997838
"17","b_t",1967,830999.513985374,847422.344599584,195689.360606603,2172533.04422588
"18","b_t",1968,808253.737595534,815094.842213579,189058.023617909,2099397.50268349
"19","b_t",1969,850433.497140037,853875.902790842,197762.120105885,2223931.65866733
"20","b_t",1970,877871.699773113,901937.639539715,206608.081689038,2314497.96512544
"21","b_t",1971,895806.400239471,941125.383221369,216829.4160767,2364372.52552373
"22","b_t",1972,995550.645608738,976562.55263946,238996.255552639,2640117.76027179
"23","b_t",1973,1088448.77591633,1054516.53496168,258768.853218006,2922938.34326791
"24","b_t",1974,1004688.64357831,1021732.70289395,235882.652890349,2651133.09348008
"25","b_t",1975,947259.595900534,960179.155007437,224259.554870076,2552165.19116199
"26","b_t",1976,976860.95713537,972641.776091319,233022.728528865,2636855.64168747
"27","b_t",1977,1040098.35728346,1068298.59009389,243771.236599664,2777148.70584292
"28","b_t",1978,977978.364689589,1005965.041778,230131.429025748,2606502.74445059
"29","b_t",1979,996836.747641757,1004309.32303881,235583.598098074,2579357.06405206
"30","b_t",1980,1001042.5759791,1026683.35092458,236614.168843984,2515950.4557357
"31","b_t",1981,913252.586016888,972550.56715606,222714.883777698,2410930.58923662
"32","b_t",1982,887619.373139559,900123.18889835,209865.382342971,2351707.04401919
"33","b_t",1983,853996.277341984,873639.245123237,200153.968846022,2340427.62781096
"34","b_t",1984,895946.369081769,915521.582972078,217970.883937439,2347547.65492969
"35","b_t",1985,916971.809872834,910544.345175199,219446.682666587,2405688.45210092
"36","b_t",1986,919522.90253997,969118.760399851,219472.945491417,2439793.40057492
"37","b_t",1987,802029.970905387,819700.763186653,193890.097837687,2062762.11260579
"38","b_t",1988,720733.040211597,721646.930700443,171526.012950112,1933857.59828128
"39","b_t",1989,755088.452013841,767475.993212121,174387.890106515,2026507.03485785
"40","b_t",1990,750694.57543975,738608.538577584,176263.49919301,2038160.97171327
"41","b_t",1991,731672.993584483,728824.527466383,172798.570446287,1970008.09723496
"42","b_t",1992,724931.326242786,743419.201175618,171912.766420576,1806911.41930734
"43","b_t",1993,681918.358352127,680092.514586736,164585.475044281,1790236.88706936
"44","b_t",1994,685801.565489778,680519.512578777,164118.141378692,1827292.42296901
"45","b_t",1995,659886.213487366,658293.331681034,155906.524648934,1759527.60416009
"46","b_t",1996,549486.256010239,580413.135553238,127578.336337133,1425809.58047503
"47","b_t",1997,506336.580645606,523473.516414184,116643.296291858,1334845.7904032
"48","b_t",1998,428437.747714484,450373.764182129,102814.737351585,1120800.50733136
"49","b_t",1999,397498.631508243,403397.841338761,92521.134515724,1080524.31548249
"50","b_t",2000,436049.171296833,451261.273128354,104027.437786628,1158218.40367668
"51","b_t",2001,438100.152619506,445828.444104166,103428.477056582,1143734.4513621
"52","b_t",2002,479600.918686551,493326.449210408,112732.167748518,1243188.78704053
"53","b_t",2003,492628.765520785,501068.693131091,115994.821957456,1311580.23253966
"54","b_t",2004,471315.293265072,469698.562232873,113131.215765432,1256922.51193539
"55","b_t",2005,461711.557387237,464030.022007106,110850.343431112,1233772.47762954
"56","b_t",2006,474546.521098315,460408.669822799,113998.121201257,1259823.46885393
"57","b_t",2007,438180.809817944,448170.776649211,109144.898066483,1127017.15458754
"58","b_t",2008,441946.033330974,452484.033344988,104727.783839277,1157901.41085786
"59","b_t",2009,454240.992510628,477012.824545098,107600.497975278,1170767.98248688
"60","b_t",2010,417391.861483636,422161.76192739,101100.542342622,1083969.95150518
"61","b_t",2011,405246.343353053,409934.013010427,97159.7825926671,1035067.28236932
"62","b_t",2012,394150.266465652,396889.547302974,92843.0149729154,1039122.24519012
"63","b_t",2013,373702.002734612,380282.583948968,87746.7475905964,972903.955177646
"64","b_t",2014,366366.996883925,385738.262715438,86860.285920604,943410.69526622
"65","b_t",2015,341490.088680889,344821.806392006,81544.0055382032,897048.07392435
"66","b_t",2016,290698.243250345,288094.880587404,69016.1346252145,788000.986388764
"67","b_t",2017,244951.99678309,239541.063876687,58637.2580132135,636514.057503707
"68","b_t",2018,201866.112787008,193526.449854804,49582.1960019335,529178.780374742
"69","bmsy",1951,306162.518389249,287790.058802164,82131.3523533028,788855.544190117
"70","ck",1951,0.00162891281828292,0.00106870643007504,0.000380297955978715,0.00365268552756051
"71","ck",1952,0.00298634016685202,0.00195929512180424,0.000697212919294312,0.00669659013386093
