"","variable","year","mean","sd","lower","upper"
"1","b_t",2000,10193.2272083501,21595.2419045493,916.892600246118,34594.7724021553
"2","b_t",2001,5455.92588948519,15309.0993313607,359.127435317055,17724.6464564612
"3","b_t",2002,5258.70483052764,11330.5874784138,332.519479846544,19343.8319679279
"4","b_t",2003,5020.06078923596,10930.3584330435,337.383388139663,17490.8584638011
"5","b_t",2004,7843.37589057589,17525.4090024439,550.990075830053,26932.5692928932
"6","b_t",2005,22061.5742309576,50011.897070527,1676.10575897095,75642.603173244
"7","b_t",2006,15094.457149756,36809.9028850672,846.291771106211,54182.2851026079
"8","b_t",2007,10466.8806513491,23045.9068075159,698.881250031119,36474.1190479354
"9","b_t",2008,9499.14156807637,23448.4584325362,621.440504617912,33609.94016696
"10","b_t",2009,11453.4040810423,32100.5017545666,732.662646859032,39772.7304340017
"11","b_t",2010,10523.0381763808,26845.7087774936,666.864985277361,36365.4015966896
"12","b_t",2011,10682.9203114486,26568.2871186583,656.114119781237,37661.2174047005
"13","b_t",2012,11563.7722349195,26944.3826910308,758.011522678324,38539.7715981448
"14","b_t",2013,12869.2140394028,29651.5919420351,848.124365901906,47166.1847166641
"15","b_t",2014,14512.327972526,37456.586351737,952.678286513521,49042.2749388295
"16","b_t",2015,14728.376040165,39667.8343699813,900.093834037762,54227.3508872617
"17","b_t",2016,10601.9417239359,27172.6943235509,589.845124805154,34536.9287503409
"18","b_t",2017,8386.23186862557,28411.485588125,425.964483829148,30416.5504382356
"19","b_t",2018,4282.75192035248,8783.61310653686,381.799492819385,15006.8706919975
"20","bmsy",2000,6984.72111867332,14482.1360517606,622.154204641939,24219.5314565174
"21","ck",2000,0.00369408861495202,0.0037248311330694,0.000289022945830254,0.0112512301745542
"22","ck",2001,0.00316636166995887,0.00319271239977377,0.000247733953568789,0.0096439115781893
"23","ck",2002,0.00474954250493831,0.00478906859966065,0.000371600930353184,0.0144658673672839
"24","ck",2003,0.00369408861495202,0.0037248311330694,0.000289022945830254,0.0112512301745542
"25","ck",2004,0.00501340597743489,0.00505512796630847,0.000392245426483916,0.0152695266654664
"26","ck",2005,0.139583776950687,0.140745404956694,0.0109209384531575,0.425135768738512
"27","ck",2006,0.0240115759971881,0.0242114023649511,0.00187864914789665,0.0731329961346022
"28","ck",2007,0.0139847640423184,0.0141011464323341,0.00109415829492882,0.0425939428036694
"29","ck",2008,0.00923522153738005,0.00931207783267349,0.000722557364575635,0.0281280754363855
"30","ck",2009,0.0163595352947875,0.0164956807321645,0.00127995876010541,0.0498268764873114
"31","ck",2010,0.0150402179323047,0.0151653838989254,0.00117673627945175,0.0458085799963992
"32","ck",2011,0.0129293101523321,0.0130369089657429,0.00101158031040589,0.0393793056109396
"33","ck",2012,0.0160956718222909,0.0162296213655167,0.00125931426397468,0.0490232171891289
"34","ck",2013,0.0174149891847738,0.0175599181987557,0.00136253674462834,0.0530415136800411
"35","ck",2014,0.0226922586347053,0.022881105531712,0.00177542666724299,0.06911469964369
"36","ck",2015,0.025330893359671,0.0255416991981902,0.00198187162855031,0.0771512926255144
"37","ck",2016,0.0102906754273663,0.0103763152992647,0.000805135349098565,0.0313427126291152
"38","ck",2017,0.0282333915571333,0.0284683522313161,0.00220896108598837,0.0859915449055212
"39","ck",2018,0.023483849052195,0.0236792836316555,0.00183736015563519,0.0715256775382373
"40","crashed",2000,0,0,0,0
"41","delta",2000,100,0,100,100
"42","dep_t",2000,0.724006975129138,0.0694550426680401,0.616379716899034,0.837712603978546
"43","dep_t",2001,0.381839589056797,0.196567539548612,0.163682660014305,0.72750465852827
"44","dep_t",2002,0.374651704864093,0.201225497857279,0.152091487723947,0.708559523771207
"45","dep_t",2003,0.366181674026308,0.185493757534153,0.149786268024069,0.697461855352796
"46","dep_t",2004,0.561311599488751,0.248542035559767,0.256611460163611,1.01523824098779
"47","dep_t",2005,1.56810710459046,0.460712096000662,0.852395719689979,2.30779584786575
"48","dep_t",2006,1.02499553734805,0.450666976482817,0.445731873857768,1.84724311859608
"49","dep_t",2007,0.744635258665953,0.342483046832997,0.323070618986598,1.36638161855802
"50","dep_t",2008,0.667895073786861,0.316482816383653,0.289632265271167,1.27743652359839
"51","dep_t",2009,0.798231890574518,0.373684259402962,0.322827466897612,1.48969362551866
"52","dep_t",2010,0.749297388837701,0.355720578238103,0.318654195506081,1.44839477182256
"53","dep_t",2011,0.751115859883173,0.341253202338154,0.312906806500164,1.35391140579228
"54","dep_t",2012,0.833441848475903,0.3679141824807,0.359173717443053,1.50901031489247
"55","dep_t",2013,0.905511764378278,0.39116671592613,0.394784390505626,1.62520865765099
"56","dep_t",2014,0.996208552157238,0.402926346003328,0.445523022115166,1.71805433807341
"57","dep_t",2015,1.00365264713253,0.452200911721596,0.426122377137877,1.86540845983329
"58","dep_t",2016,0.767486169626867,0.483131997043463,0.238057533315736,1.78800948291532
"59","dep_t",2017,0.587055975690195,0.462399339227054,0.189427739305889,1.59432373132872
"60","dep_t",2018,0.306122907264313,0.047494742598371,0.237396689557636,0.391779854492551
"61","growth_t",2000,0.11578372813805,0.0292873286920979,0.0719352524021018,0.165123654789362
"62","growth_t",2001,0.117170697020848,0.0577264709331485,0.0636154522984606,0.174355762370911
"63","growth_t",2002,0.114893540994642,0.060228561132465,0.0629762139112759,0.172632066081539
"64","growth_t",2003,0.117442756280251,0.0435208577158147,0.0632670611847294,0.174778243032042
"65","growth_t",2004,0.110252610923387,0.101761766630473,-0.00766806036347984,0.180425855034157
"66","growth_t",2005,-0.613976124583332,0.53428632862183,-1.57903748932495,0.079612527033627
"67","growth_t",2006,-0.128753916435695,0.397821616106936,-0.939220291312147,0.16519235696925
"68","growth_t",2007,0.0465429639101593,0.206899025462923,-0.296021487919937,0.179418564946383
"69","growth_t",2008,0.0739353459016074,0.158933545805984,-0.184912324298241,0.178547922322298
"70","growth_t",2009,0.0171412067191382,0.233526067912964,-0.433642907718848,0.172194461280116
"71","growth_t",2010,0.0371700755099693,0.224196514854162,-0.350059964427308,0.172928902446296
"72","growth_t",2011,0.0434176334518546,0.200582212596503,-0.291777087758622,0.174489845410547
"73","growth_t",2012,0.00507595378704881,0.241124753057001,-0.450946554558995,0.171831057068938
"74","growth_t",2013,-0.0334479690495317,0.297172282634933,-0.578063783733698,0.171145931033184
"75","growth_t",2014,-0.0880972918763937,0.323679336802526,-0.716538088473176,0.162280007106253
"76","growth_t",2015,-0.110659018168167,0.401213360294299,-0.930533595049736,0.170517308316181
"77","growth_t",2016,-0.0300553217691087,0.391295244954231,-0.783992486763633,0.173436851817534
"78","growth_t",2017,0.0158967777219149,0.377592103115183,-0.616904186572544,0.17501502864107
"79","growth_t",2018,0.124831449812823,0.0257405331883187,0.0886873224360228,0.17090845774558
"80","index_hat_t",2000,10193.2272083501,21595.2419045493,916.892600246118,34594.7724021553
"81","index_hat_t",2001,5455.92588948519,15309.0993313607,359.127435317055,17724.6464564612
"82","index_hat_t",2002,5258.70483052764,11330.5874784138,332.519479846544,19343.8319679279
"83","index_hat_t",2003,5020.06078923596,10930.3584330435,337.383388139663,17490.8584638011
"84","index_hat_t",2004,7843.37589057589,17525.4090024439,550.990075830053,26932.5692928932
"85","index_hat_t",2005,22061.5742309576,50011.897070527,1676.10575897095,75642.603173244
"86","index_hat_t",2006,15094.457149756,36809.9028850672,846.291771106211,54182.2851026079
"87","index_hat_t",2007,10466.8806513491,23045.9068075159,698.881250031119,36474.1190479354
"88","index_hat_t",2008,9499.14156807637,23448.4584325362,621.440504617912,33609.94016696
"89","index_hat_t",2009,11453.4040810423,32100.5017545666,732.662646859032,39772.7304340017
"90","index_hat_t",2010,10523.0381763808,26845.7087774936,666.864985277361,36365.4015966896
"91","index_hat_t",2011,10682.9203114486,26568.2871186583,656.114119781237,37661.2174047005
"92","index_hat_t",2012,11563.7722349195,26944.3826910308,758.011522678324,38539.7715981448
"93","index_hat_t",2013,12869.2140394028,29651.5919420351,848.124365901906,47166.1847166641
"94","index_hat_t",2014,14512.327972526,37456.586351737,952.678286513521,49042.2749388295
"95","index_hat_t",2015,14728.376040165,39667.8343699813,900.093834037762,54227.3508872617
"96","index_hat_t",2016,10601.9417239359,27172.6943235509,589.845124805154,34536.9287503409
"97","index_hat_t",2017,8386.23186862557,28411.485588125,425.964483829148,30416.5504382356
"98","index_hat_t",2018,4282.75192035248,8783.61310653686,381.799492819385,15006.8706919975
"99","k",2000,13969.4422373466,28964.2721035211,1244.30840928388,48439.0629130347
"100","log_b",2000,8.44673434829667,1.1519970550388,6.82099007962333,10.4514572336133
"101","log_b",2001,7.70042893968887,1.23795920898241,5.88367719260362,9.78270200242372
"102","log_b",2002,7.66930108832426,1.26376435078239,5.80669836097341,9.8701182711738
"103","log_b",2003,7.65501786404526,1.24525944733559,5.82121992937892,9.76942741534681
"104","log_b",2004,8.1058524696114,1.23301712168368,6.31171487149211,10.2010915644887
"105","log_b",2005,9.17542596409535,1.19439618696172,7.4242283791845,11.2337690300368
"106","log_b",2006,8.70128940365704,1.30095095584619,6.74086416239184,10.9001034482253
"107","log_b",2007,8.37863699558521,1.26348337429381,6.54948029741398,10.5043560735187
"108","log_b",2008,8.26262455670841,1.25722925232253,6.43203657043933,10.4225763922261
"109","log_b",2009,8.43988401809681,1.25651218136609,6.59668443241931,10.5909366723701
"110","log_b",2010,8.37868447424914,1.25266433643427,6.50258736118745,10.5013730573783
"111","log_b",2011,8.38473835974759,1.25590175329741,6.48633416508025,10.5363860231018
"112","log_b",2012,8.49490452720864,1.23296001760837,6.63069357104684,10.5594430574582
"113","log_b",2013,8.58382043797823,1.24565440565277,6.74302727751709,10.7614322930134
"114","log_b",2014,8.68712069090253,1.2310617651825,6.8592772079179,10.800431207799
"115","log_b",2015,8.67837964969032,1.26095139129014,6.8024950944662,10.9009406320891
"116","log_b",2016,8.32618261794628,1.28870714162468,6.37985910338825,10.4497815089627
"117","log_b",2017,8.01730865367638,1.30393705752579,6.05435592067882,10.3227402222798
"118","log_b",2018,7.57874307079805,1.15707804509925,5.94489328377144,9.616263373359
"119","log_b_div_bmsy",2000,0.365592515111258,0.0960493024866909,0.209255094606062,0.516066975566142
"120","log_b_div_bmsy",2001,-0.380712893496535,0.467770940350338,-1.11667865932509,0.375012242450697
"121","log_b_div_bmsy",2002,-0.411840744861149,0.494771814877383,-1.19012588643347,0.348625970625951
"122","log_b_div_bmsy",2003,-0.426123969140152,0.47943566732193,-1.20539909224494,0.332839141455637
"123","log_b_div_bmsy",2004,0.0247106364259924,0.42981753350289,-0.667047169290482,0.708270482438104
"124","log_b_div_bmsy",2005,1.09428413090994,0.326895189417074,0.533442762450969,1.52944006368037
"125","log_b_div_bmsy",2006,0.620147570471629,0.452491774390943,-0.114890633152271,1.30684150202435
"126","log_b_div_bmsy",2007,0.297495162399803,0.454149409084029,-0.436737310791959,1.00531325978306
"127","log_b_div_bmsy",2008,0.181482723522998,0.473092304383929,-0.54599633434852,0.938001832450849
"128","log_b_div_bmsy",2009,0.358742184911399,0.477879212822457,-0.437490076658925,1.0917175326342
"129","log_b_div_bmsy",2010,0.297542641063726,0.468269757203474,-0.450501630038417,1.06360267551945
"130","log_b_div_bmsy",2011,0.303596526562176,0.466891531585108,-0.468702806861465,0.996144910596855
"131","log_b_div_bmsy",2012,0.413762694023229,0.449875503918506,-0.330802215295463,1.10460119355496
"132","log_b_div_bmsy",2013,0.502678604792821,0.434421578158165,-0.236268330115427,1.17878306383663
"133","log_b_div_bmsy",2014,0.605978857717122,0.417637544849649,-0.115359366948862,1.23433961153736
"134","log_b_div_bmsy",2015,0.597237816504915,0.455816565198841,-0.159881541402505,1.31662722197748
"135","log_b_div_bmsy",2016,0.245040784760874,0.61606280752761,-0.742095953035978,1.27425016009749
"136","log_b_div_bmsy",2017,-0.0638331795090289,0.644086340891235,-0.970601837162588,1.15959461322714
"137","log_b_div_bmsy",2018,-0.502398762387362,0.153165994922021,-0.744875599364347,-0.243908139149352
"138","log_c_div_msy",2000,-4.21059776372583,1.16974747006176,-6.22354258326584,-2.52760000348107
"139","log_c_div_msy",2001,-4.36474844355308,1.16974747006176,-6.3776932630931,-2.68175068330833
"140","log_c_div_msy",2002,-3.95928333544492,1.16974747006176,-5.97222815498494,-2.27628557520017
"141","log_c_div_msy",2003,-4.21059776372583,1.16974747006176,-6.22354258326584,-2.52760000348107
"142","log_c_div_msy",2004,-3.90521611417464,1.16974747006176,-5.91816093371466,-2.22221835392989
"143","log_c_div_msy",2005,-0.578666661482785,1.16974747006176,-2.5916114810228,1.10433109876197
